Real,Probabilidad,Prediccion
0,0.06222095208126512,0
0,0.07589855025982396,0
0,0.07407074134504767,0
0,0.043576660667248475,0
0,0.22523072997165747,0
1,0.3015762578226227,0
0,0.1672329841050175,0
0,0.12178416241952693,0
0,0.11614314341124428,0
0,0.06520554910107626,0
0,0.08210987123668437,0
0,0.14802458715017824,0
0,0.18584519952059725,0
1,0.21813941622027216,0
0,0.08850472160791449,0
0,0.32265829554753883,0
0,0.07012729723496547,0
0,0.07472543709869592,0
0,0.03916416494799759,0
0,0.055592986644857414,0
0,0.062355761329815226,0
0,0.11967505146739756,0
0,0.15911613303473682,0
0,0.06237796312684691,0
0,0.16226154344445334,0
0,0.15837216770149667,0
0,0.047087319854786605,0
0,0.1241787908428436,0
0,0.16707428608654531,0
0,0.21712980468504547,0
1,0.17521424006378264,0
0,0.06924257737006274,0
0,0.14018187153925546,0
0,0.0547729397517354,0
1,0.34291437447323597,0
0,0.1279513451328805,0
0,0.19380955396897231,0
0,0.08621942113449843,0
1,0.2416876398558302,0
0,0.06628132415138849,0
0,0.027137393173422817,0
0,0.28550328138091696,0
0,0.12621066033216138,0
0,0.20803645217951455,0
1,0.17754355960535936,0
0,0.11915542686700052,0
0,0.0712422733900732,0
0,0.10171969837737563,0
0,0.20074151351752054,0
0,0.20002926760413492,0
0,0.06359917757369912,0
0,0.07466919344063118,0
0,0.07817318873648747,0
0,0.1721874585321236,0
0,0.06730274841252759,0
0,0.1283823025416464,0
0,0.1967990678144783,0
0,0.08627951416273492,0
0,0.0740610390465464,0
0,0.09681297972602508,0
0,0.03715920602939867,0
0,0.053589288066119484,0
0,0.033801723908479755,0
0,0.0620124149150626,0
1,0.20912945518583384,0
0,0.03591347458139539,0
0,0.2520031941963597,0
0,0.1702563580715013,0
0,0.30923412536797823,0
1,0.4996671889464067,0
0,0.07010612146330501,0
0,0.022329781725987582,0
0,0.19697271902787936,0
0,0.0917921576514846,0
1,0.1641430297272849,0
0,0.1368573860555996,0
0,0.18932729188188166,0
0,0.13887088236446862,0
0,0.08101547370135398,0
0,0.10952456346025016,0
1,0.26081021995802395,0
1,0.2358783676915576,0
0,0.09965484235660994,0
0,0.041745135922657155,0
0,0.1892861612253716,0
0,0.1735396308028792,0
0,0.11682331874919014,0
0,0.21141503677310833,0
0,0.15782220569072616,0
0,0.30734335054716894,0
0,0.38548290595949775,0
0,0.049835510556267046,0
0,0.4601880466871111,0
0,0.037135157787449656,0
0,0.11597208728481925,0
0,0.12565422200996454,0
0,0.4299316375087301,0
1,0.18168051219854547,0
0,0.0381466030274007,0
1,0.15327554129589654,0
0,0.12361049412127938,0
1,0.1141137254338808,0
0,0.19209449494714959,0
1,0.388529435232852,0
0,0.263655401522257,0
0,0.2804476474837495,0
0,0.26160182498390616,0
1,0.4172830249544114,0
0,0.13385016318337625,0
0,0.1400167288769706,0
0,0.25350724213346276,0
0,0.11240947151115867,0
0,0.1261180708238174,0
0,0.048211151755696006,0
1,0.10524275780457933,0
0,0.07152647085420676,0
0,0.020448796184533182,0
0,0.1234807529575736,0
0,0.2287234040826528,0
0,0.10624374375641334,0
0,0.4385273220122161,0
0,0.03350062455241601,0
0,0.24809004505475712,0
0,0.19895951392674424,0
0,0.21035209150450387,0
0,0.24501638979399962,0
0,0.07662744857289179,0
1,0.14080771530140018,0
